congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
118,Senate,20750,6,0,VT,100,,,"WELCH, Peter",W000800,1947,,-0.404,-0.398,-35.41182,0.9469,649,21,,-0.512,-0.589
118,Senate,29147,6,0,VT,328,,,"SANDERS, Bernard",S000033,1941,,-0.544,-0.427,-122.22368,0.81431,595,46,,-0.737,-0.676
118,Senate,40909,40,0,VA,100,,,"WARNER, Mark",W000805,1954,,-0.211,-0.042,-29.52887,0.95498,641,9,,-0.356,0.134
118,Senate,41305,40,0,VA,100,,,"KAINE, Timothy Michael (Tim)",K000384,1958,,-0.241,-0.104,-51.4183,0.9245,655,18,,-0.438,0.118
118,Senate,39310,73,0,WA,100,,,"CANTWELL, Maria E.",C000127,1958,,-0.307,-0.402,-19.55274,0.97046,652,5,,-0.329,-0.292
118,Senate,49308,73,0,WA,100,,,"MURRAY, Patty",M001111,1950,,-0.356,-0.312,-16.12326,0.97539,647,4,,-0.308,-0.284
118,Senate,20146,56,0,WV,200,,,"CAPITO, Shelley Moore",C001047,1953,,0.284,0.143,-110.18394,0.83955,630,35,,0.318,0.304
118,Senate,40915,56,0,WV,100,,,"MANCHIN, Joe, III",M001183,1947,,-0.057,0.4,-69.44833,0.86209,468,17,,-0.034,0.32
118,Senate,90915,56,0,WV,328,,,"MANCHIN, Joe, III",M001183,1947,,-0.06,-0.805,-7.54264,0.92444,96,1,,-0.06,-0.805
118,Senate,29940,25,0,WI,100,,,"BALDWIN, Tammy",B001230,1962,,-0.487,-0.127,-36.65395,0.94541,653,19,,-0.363,-0.322
118,Senate,41111,25,0,WI,200,,,"JOHNSON, Ron",J000293,1955,,0.641,-0.139,-82.55487,0.87916,641,34,,0.699,-0.064
118,Senate,20953,68,0,WY,200,,,"LUMMIS, Cynthia M.",L000571,1954,,0.685,-0.328,-94.09091,0.86106,629,51,,0.648,-0.19
118,Senate,40707,68,0,WY,200,,,"BARRASSO, John A.",B001261,1952,,0.54,0.194,-54.70669,0.90499,548,20,,0.557,0.082
